student_id,course_id,enrollment_date,grade
7181,269,2024-04-10,F
6833,805,2023-04-29,C
4432,277,2024-07-25,D
1951,553,2024-11-11,C
3661,729,2023-09-14,A
1120,620,2023-12-13,Q
2883,440,2024-01-08,F
3701,8,2025-03-07,B
1393,393,2025-02-09,C
2586,287,2024-10-14,Q
1871,171,2024-05-19,D
7743,108,2024-11-17,Q
5440,470,2023-10-03,A
769,257,2025-03-06,D
3203,54,2025-01-16,B
6479,480,2024-01-14,F
7436,167,2024-09-26,B
1826,11,2023-04-20,C
8188,511,2023-10-24,Q
6798,16,2025-02-02,B
7556,523,2024-05-10,D
9919,163,2023-10-18,F
2013,657,2023-10-29,B
6706,684,2025-02-25,D
6195,126,2024-09-14,C
6095,229,2023-07-14,C
6635,289,2023-09-08,C
8783,581,2023-06-04,F
2472,62,2024-09-15,B
7294,526,2023-04-18,B
1901,706,2024-02-07,F
8405,363,2024-04-13,B
5045,625,2023-09-08,B
6392,268,2024-03-06,C
8569,194,2024-10-09,A
1237,704,2023-10-24,Q
6731,839,2023-04-30,F
7179,245,2024-03-07,D
2149,347,2023-10-06,D
6564,983,2023-08-06,D
4383,162,2023-04-20,A
907,524,2023-09-28,D
5115,544,2023-06-06,Q
3571,776,2023-05-04,B
9697,486,2024-04-28,B
1437,220,2024-05-02,D
1438,401,2024-11-16,C
8947,691,2025-01-27,B
5387,904,2023-11-20,B
6034,496,2025-02-04,F
5471,964,2023-05-21,F
177,140,2023-10-27,B
7432,624,2023-06-22,D
5149,903,2023-05-10,F
9298,913,2024-11-21,Q
6947,793,2023-12-05,Q
4519,464,2023-08-17,F
9047,922,2023-12-17,C
8189,991,2024-02-12,B
9434,100,2023-12-08,A
2959,271,2024-01-13,C
2793,53,2024-05-03,C
6737,661,2024-03-04,B
3373,263,2023-04-18,A
5334,473,2023-03-24,A
5512,732,2024-08-23,A
7478,437,2023-07-09,F
7349,224,2024-03-01,F
8598,314,2023-04-27,B
5821,817,2024-03-12,F
2121,385,2024-08-19,C
9408,745,2024-12-09,Q
401,62,2024-02-05,B
3371,197,2023-10-25,F
8191,589,2024-04-07,Q
4456,402,2023-07-17,F
2198,926,2023-11-04,A
8767,591,2024-12-04,C
9515,840,2024-06-24,F
825,23,2023-12-29,C
2868,428,2024-03-23,A
5438,885,2023-10-30,F
5666,252,2024-11-06,C
2054,32,2024-04-27,D
6497,612,2025-02-13,Q
7201,90,2024-02-14,D
4978,716,2024-08-18,D
3731,7,2024-09-21,Q
