course_id,title,credits,dept_id,instructor_id
1,Introduction to Take,1,89,530
2,Introduction to Computer,1,20,973
3,Introduction to Between,4,25,141
4,Introduction to Determine,3,97,297
5,Introduction to Rest,1,81,648
6,Introduction to Enter,2,32,861
7,Introduction to Expect,3,15,967
8,Introduction to Smile,1,46,772
9,Introduction to Yard,4,37,175
10,Introduction to Country,2,49,157
11,Introduction to Answer,1,17,769
12,Introduction to Product,1,20,100
13,Introduction to Discuss,4,98,694
14,Introduction to Show,1,90,143
15,Introduction to Begin,4,1,813
16,Introduction to Star,3,57,215
17,Introduction to Quickly,2,21,70
18,Introduction to Value,1,2,642
19,Introduction to Forward,1,15,777
20,Introduction to Consumer,1,30,172
21,Introduction to Whom,1,15,812
22,Introduction to Four,2,81,285
23,Introduction to Support,4,80,665
24,Introduction to Book,3,34,281
25,Introduction to Type,4,52,483
26,Introduction to Some,4,91,977
27,Introduction to Front,3,31,941
28,Introduction to Level,4,80,736
29,Introduction to Until,2,45,46
30,Introduction to Present,2,77,846
31,Introduction to Argue,2,26,549
32,Introduction to Soon,4,32,677
33,Introduction to Cover,1,12,501
34,Introduction to Question,3,1,569
35,Introduction to Need,4,17,41
36,Introduction to Data,2,35,922
37,Introduction to Source,3,66,788
38,Introduction to Third,1,42,667
39,Introduction to Myself,1,62,516
40,Introduction to Reality,1,64,313
41,Introduction to And,2,79,657
42,Introduction to Share,1,74,932
43,Introduction to Born,1,10,859
44,Introduction to Treat,1,9,91
45,Introduction to Physical,2,6,502
46,Introduction to Market,1,12,178
47,Introduction to Throw,4,67,559
48,Introduction to Check,2,13,843
49,Introduction to Left,1,85,41
50,Introduction to Way,2,79,767
51,Introduction to Care,2,75,893
52,Introduction to Break,1,64,918
53,Introduction to Explain,3,83,181
54,Introduction to Candidate,2,87,144
55,Introduction to Measure,1,34,23
56,Introduction to Can,3,28,732
57,Introduction to Analysis,2,46,413
58,Introduction to Local,2,41,724
59,Introduction to News,2,8,410
60,Introduction to Decide,1,67,422
61,Introduction to Gas,4,21,591
62,Introduction to They,4,92,389
63,Introduction to World,1,57,761
64,Introduction to Customer,4,65,385
65,Introduction to Me,4,60,629
66,Introduction to My,2,10,758
67,Introduction to Service,3,49,553
68,Introduction to Listen,1,45,466
69,Introduction to Become,1,86,870
70,Introduction to Could,2,47,18
71,Introduction to Hospital,4,22,933
72,Introduction to Right,1,23,434
73,Introduction to Tough,1,90,703
74,Introduction to Impact,4,53,158
75,Introduction to Finally,1,71,920
76,Introduction to Work,1,16,866
77,Introduction to Audience,4,40,186
78,Introduction to Wrong,4,28,893
79,Introduction to Rather,4,71,965
80,Introduction to Discover,2,41,507
81,Introduction to Thousand,1,100,433
82,Introduction to System,1,15,366
83,Introduction to Read,4,1,291
84,Introduction to Degree,2,78,282
85,Introduction to You,4,39,3
