student_id,course_id,enrollment_date,grade
8940,297,2023-04-23,D
1147,309,2023-06-01,D
7284,695,2024-12-31,F
7466,944,2023-03-16,A
5730,914,2023-07-01,B
1101,634,2025-01-16,A
1136,858,2024-11-08,A
10,448,2024-03-19,D
6619,576,2023-03-11,A
5043,1000,2023-02-18,D
6700,700,2023-04-04,A
4247,65,2024-04-07,F
7866,544,2024-05-25,C
9274,843,2023-12-26,D
4768,950,2024-05-23,C
9140,363,2023-04-17,F
6250,598,2024-02-17,B
3219,760,2024-01-25,B
2405,35,2024-12-06,B
4920,695,2025-01-10,A
9530,268,2024-01-18,D
3010,950,2023-08-16,A
617,297,2024-02-29,D
9010,79,2023-04-27,A
7907,907,2024-05-22,F
4725,768,2025-02-05,A
6145,509,2024-05-23,D
2151,446,2023-07-27,C
9830,166,2024-10-15,C
970,375,2023-06-24,B
1923,190,2023-03-08,A
3905,345,2024-02-16,A
812,547,2024-01-13,B
9434,988,2024-01-04,F
498,294,2024-05-26,A
2762,517,2024-04-22,D
8603,504,2024-05-09,C
9681,251,2024-01-01,B
48,851,2024-12-06,A
5275,58,2024-08-20,C
8118,901,2025-01-20,B
8207,979,2023-11-15,B
21,753,2023-11-06,D
3688,183,2024-11-29,F
2149,786,2024-11-13,F
8055,736,2024-05-13,F
3252,266,2024-02-18,D
4129,184,2023-08-08,D
8546,697,2024-08-12,F
9435,352,2024-04-09,C
4981,839,2023-02-23,D
1503,718,2024-01-31,F
3337,392,2023-03-30,C
6066,884,2024-07-20,B
8839,322,2023-11-05,C
7105,619,2024-01-31,A
8919,693,2024-10-18,D
8587,804,2024-01-28,B
5908,336,2023-06-29,A
5961,20,2023-03-28,F
4103,394,2023-03-19,C
2263,949,2024-05-31,B
2788,144,2023-11-15,D
5488,735,2023-10-28,A
959,170,2024-08-17,A
4918,184,2024-02-17,B
1758,198,2024-10-28,B
4141,6,2023-08-07,A
6921,247,2023-05-29,F
1287,440,2023-03-06,B
5004,722,2023-11-16,A
4705,597,2024-08-08,A
8917,38,2023-11-21,A
7935,751,2024-06-16,F
6614,611,2024-12-31,A
7132,863,2023-03-27,B
1519,154,2024-06-23,F
8332,589,2024-07-20,C
9923,606,2024-11-09,D
1698,500,2024-12-21,C
2146,111,2024-12-26,C
6907,15,2023-08-29,C
4894,45,2023-12-17,D
207,444,2024-02-17,A
8816,374,2024-02-21,F
2752,799,2024-11-02,D
3338,101,2024-07-02,A
4256,937,2023-08-02,C
7483,325,2024-09-23,D
3949,760,2024-06-03,D
4750,104,2024-07-23,B
1351,353,2023-07-19,D
9361,614,2024-01-27,D
9727,540,2023-04-15,C
5431,324,2023-10-05,F
4394,161,2024-11-16,C
8090,575,2024-05-10,B
918,578,2023-08-04,A
6772,688,2025-01-28,F
9042,896,2023-07-21,C
4586,304,2024-12-27,D
8041,486,2023-03-04,F
6526,208,2023-12-16,D
1383,415,2024-03-15,F
7813,254,2024-11-06,A
3413,124,2025-01-02,C
5974,677,2024-03-16,B
1491,882,2023-02-23,F
1260,767,2023-10-25,B
573,733,2024-03-16,B
9337,226,2024-12-14,B
7582,97,2024-04-28,F
5625,955,2023-05-21,A
2583,82,2023-03-10,F
550,961,2024-05-08,B
3704,942,2024-09-28,F
3362,2,2024-04-18,B
933,816,2023-12-11,D
4422,572,2024-08-01,C
4069,124,2024-11-24,B
44,660,2023-02-20,F
4537,555,2025-01-15,D
939,767,2024-09-09,C
469,746,2023-11-22,F
3420,445,2024-08-08,B
2911,740,2023-10-07,B
6632,560,2024-10-21,B
8436,365,2023-10-23,A
4589,73,2023-10-05,D
4021,675,2023-12-01,A
